date,username,rawContent
2022-12-02 10:06:49+00:00,eto_tome,@_miggypot29 Dyan na ba papasok ang the peso is weak not bec the peso is weak but bec the dollar is strong? 🤣
2022-12-02 09:58:15+00:00,altGenie,"Peso rises vs Dollar. But why? Is it bcoz PHP got stronger? No. USD falls due to dovish Fed outlook. So PHP can look strong when USD weakens. Consequently, PHP can look weak when USD strengtens: The Peso is weak not bcoz it's weak, but bcoz the Dollar is strong. Sandro was right. https://t.co/8JIjU6aYzB"
2022-12-02 06:28:59+00:00,from_myday_,@jaen0tjar The peso is not weak because the peso is weak. The peso is weak because the dollar is strong. HAHAHAHAAHHAHHAHAAHAHAHAH
2022-12-02 02:12:07+00:00,oiger,the peso is strong because the dollar is weak? or the pesos is strong because bbm is strong?
2022-11-30 14:31:01+00:00,WTNBEH4RUT0,I would like to make one thing clear... the peso is not weak because the peso is weak. The peso is weak because the dollar is strong. https://t.co/CqfeS6PEZG
2022-11-29 10:42:48+00:00,DDS_hater,"@cnnphilippines The peso is not strong because the peso is strong. The peso is strong because the dollar is weak

🤣🤣🤣"
2022-11-28 15:55:04+00:00,lcve214,the peso is weak because the dollar is strong
2022-11-27 12:38:37+00:00,nextdoornathan,"It's not that the PESO is STRONG

It's just that... the DOLLAR is WEAK

WAAHAHAHHA ANO KA NGAUN, SANDRO"
2022-11-26 12:30:06+00:00,Mo1Charles,"@SaltAndReality True, like the "" peso is weak because the dollar is strong "" eme. And the DRAGON FRUIT."
2022-11-26 09:17:41+00:00,a_aashe,"@michiswyze HHAHAAHHAH fake news ra daw diay uy, giawat sa iyahang peso is weak bcuz dollar is strong nga speech"
2022-11-26 07:57:43+00:00,attydonbragais,"@Richeydarian Who wouldn’t think it was his after that “the peso is weak not because the peso is weak, but the peso is weak because the dollar is strong” quip of his? Besides, it was spot-on about the Economic concept of substitute goods."
2022-11-26 04:16:40+00:00,elmer444love,@MiaMagdalena The peso are not weak bcoz the dollar are strong that's why tbe peso are weak bcoz the dollar are strong ganern
2022-11-26 03:25:24+00:00,ronaldgem,"ORIGINAL VS. FAKE

The now-viral quote card of Sandro Marcos supposedly commenting on the price of red onions is FAKE.

The card being reposted is an edited version of an Inquirer card where he commented on the weakening PHP, saying ""The peso is weak because the dollar is strong"" https://t.co/EKW34Q3k42"
2022-11-25 07:00:40+00:00,mgb819,It’s as significant as when the moron declared “I would like to make one thing clear…the peso is not weak because the peso is weak. The peso is weak because the dollar is strong”
2022-11-20 15:11:21+00:00,ozellethegemini,"G: May artista siguro, dami bodyguards
O: San?
G: Sabi na e *nakita si “The peso is weak because the dollar is strong” sa loob ng isang store habang yung bodyguards nasa labas lang 🤣*
O: Artista ba yan? Pakielam ko dyan. Yaan mo sya. Day off nya linggo daw! 😂"
2022-11-17 19:11:08+00:00,WinwinEklabu,"Ano to bumababa ang presyo ng dolyar. Iyak na mga Kakampwets.😅 Spread the news ! ! 

The dollar is weak not because the dollar is weak. 
The dollar is weak because the Peso is strong.🤭🤭 https://t.co/YVUkcBpogC"
2022-11-13 02:00:00+00:00,FOCAP2020,"Ano ang masasabi mo sa pahayag na ""the peso is weak because the dollar is strong""? Share your thoughts in the comment section below.

Talakayin natin ang estado ng ating ekonomiya sa 2nd episode ng #ThinkTalk  hosted by @atomaraullo ngayong November. Abangan! #TruthBeTold https://t.co/xE2yCpRSj6"
2022-11-12 23:10:48+00:00,ANGBAYANKO3,@datumx11 Tounge ina ka tapos nung trending ang peso is weak dollar is strong kasalanan ni PBBM bobo ka
2022-11-12 15:42:55+00:00,crimmyboi,the peso is weak not because its weak but because the dollar is strong!!
2022-11-12 06:44:01+00:00,jdtalusan,"@QueSera53765958 Pag si Atty. syempre ramdam niya dahil nasa US siya, it's not because the peso is weak but because the dollar is strong and she's earning strong dollar and not the weak Bobong!"
2022-11-11 22:47:07+00:00,ecomdele,@AdrianRamosj Ye bro but i need a strong dollar and a weak peso 😂
2022-11-11 13:11:04+00:00,jangukmypupil,"@ddungseja im having the vibe of ,""the peso is not weak bcs it's peso, the peso is weak bcs the dollar is strong"""
2022-11-11 11:47:26+00:00,Joelcptl,"The dollar is weak not because the PESO is strong.  
Asan na yung mga experts natin dyan sa ekononiya paki explain nga. https://t.co/xrBIJcwlrL"
2022-11-11 07:12:19+00:00,gl_PH13,"@canalvsan12 @PinoyAkoBlog Kung di ako nagkakamali, Dollars ang pinang-iimport natin ng rice. 

Si Sandro mismo ang may quotable quotes na peso is weak because dollar is strong. Mangangamote na lang siguro... pero saan magtatanim kung dragon fruit ang priority? 

Hindi toxic pigilin ang maling suhestyon"
2022-11-11 04:09:46+00:00,estelitawinter,@rapplerdotcom Mag-ama nga sila ni Sandro the bobo na sumagot. The pesos is weak because the dollar is strong hahaha.
2022-11-11 03:51:55+00:00,marvindomingo24,@RainDacatimban @ShutaccahSis @bamaquino @lenirobredo NAGSAING KA NA BA NG DRAGON FRUIT??? THE PESO IS WEAK BECAUSE THE DOLLAR IS STRONG SABI NUN ANAK NI ALAMANO
2022-11-11 03:35:56+00:00,jbjbjb_06,Gumana ung pandodogshow ko dun sa “the peso is not weak because the peso is weak; the peso is weak because the dollar is strong” HSHWUUEHAHEHAHSUWUAHHWHAHSHAHWHAHSHAHHEHWHSHAAA IN UR FACE S4nDy😹😹😹😹😹😹
2022-11-10 13:12:04+00:00,raebyl,@rtktpnn2 the peso is weak because the dollar is strong energy
2022-11-10 06:52:12+00:00,IamLOudNProud,@datumx11 REALTALK PARANG THE PESO IS NOT WEAK BCOZ THE DOLLAR IS STRONG LANG UNG LINE OF THOUGHT SIR MAGKAIBA LANG NG PRESENTATION 😜😜😜
2022-11-09 12:51:25+00:00,dalawatayo,Pagalingan ang mga law makers. May cable cars ban ang kdrama may dragon fruit meron din peso is not weak the dollar is just strong. Tapos si Zubiri mas ok daw dito ang journalists kesya China. Eh bakit compare sa mas mabulok at hindi ang gawing batayan ay yung mataas ang standard
2022-11-09 05:26:48+00:00,mariaeh___,“the peso is weak because the dollar is strong” 🥲
2022-11-09 04:05:32+00:00,danizzii,"Huy unsa mani 💀 It's giving the peso is not weak because the dollar is strong 🥴

Is this the future of IIT's representative to the MSU Board of Regents? Yikes.

Pub from @TheSilahisPub https://t.co/J5Cix83Kwp"
2022-11-08 20:09:46+00:00,IpakoNa4at7,"@BoarStrong @mordsithV Sandro Marcos once said ""The Philippine peso is weak not because the Philippine peso is weak but the dollar is strong."" Nag university ba yan?"
2022-11-08 09:52:47+00:00,jbjbjb_06,"“The President’s eldest son, Sandro Marcos, said earlier this week, ‘The peso is not weak because the peso is weak; the peso is weak because the dollar is strong.’ Such illogical comments does not even assure us of our economic stability, but only makes us want to slap our faces”"
2022-11-08 09:28:45+00:00,mmmrycha,"""the dollar is strong because the peso is weak"" yan bobo mo tsaka yung tatay mo e"
2022-11-08 02:34:37+00:00,ethanreddavid,Walang Alam ang mga Marcos konde ang Alam mag party party mag attend ng mga events kumanta sumayaw magpayaman sa pwesto habang marami Pilipino gutom at naghihirap sa mga ng tataasan mga bilihin at bayaran the peso is weak because the dollar is strong 😂🤣
